country,date,total_cases,new_cases,total_deaths,new_deaths
Zimbabwe,2020-03-21,1,1,0,0
Zimbabwe,2020-03-22,2,1,0,0
Zimbabwe,2020-03-23,2,0,0,0
Zimbabwe,2020-03-24,2,0,1,1
Zimbabwe,2020-03-25,2,0,1,0
Zimbabwe,2020-03-26,3,1,1,0
Zimbabwe,2020-03-27,3,0,1,0
Zimbabwe,2020-03-28,5,2,1,0
Zimbabwe,2020-03-29,7,2,1,0
Zimbabwe,2020-03-30,7,0,1,0
Zimbabwe,2020-03-31,7,0,1,0
Zimbabwe,2020-04-01,8,1,1,0
Zimbabwe,2020-04-02,8,0,1,0
Zimbabwe,2020-04-03,8,0,1,0
Zimbabwe,2020-04-04,9,1,1,0
Zimbabwe,2020-04-05,9,0,1,0
Zimbabwe,2020-04-06,9,0,1,0
Zimbabwe,2020-04-07,9,0,1,0
Zimbabwe,2020-04-08,10,1,1,0
Zimbabwe,2020-04-09,11,1,2,1
Zimbabwe,2020-04-10,11,0,3,1
Zimbabwe,2020-04-11,11,0,3,0
Zimbabwe,2020-04-12,14,3,3,0
Zimbabwe,2020-04-13,14,0,3,0
Zimbabwe,2020-04-14,17,3,3,0
Zimbabwe,2020-04-15,17,0,3,0
Zimbabwe,2020-04-16,23,6,3,0
Zimbabwe,2020-04-17,24,1,3,0
Zimbabwe,2020-04-18,24,0,3,0
Zimbabwe,2020-04-19,25,1,3,0
Zimbabwe,2020-04-20,25,0,3,0
Zimbabwe,2020-04-21,25,0,3,0
Zimbabwe,2020-04-22,28,3,3,0
Zimbabwe,2020-04-23,28,0,3,0
Zimbabwe,2020-04-24,29,1,3,0
Zimbabwe,2020-04-25,29,0,4,1
Zimbabwe,2020-04-26,31,2,4,0
Zimbabwe,2020-04-27,31,0,4,0
Zimbabwe,2020-04-28,32,1,4,0
Zimbabwe,2020-04-29,32,0,4,0
Zimbabwe,2020-04-30,34,2,4,0
Zimbabwe,2020-05-01,34,0,4,0
Zimbabwe,2020-05-02,34,0,4,0
Zimbabwe,2020-05-03,34,0,4,0
Zimbabwe,2020-05-04,34,0,4,0
Zimbabwe,2020-05-05,34,0,4,0
Zimbabwe,2020-05-06,34,0,4,0
Zimbabwe,2020-05-07,34,0,4,0
Zimbabwe,2020-05-08,34,0,4,0
Zimbabwe,2020-05-09,35,1,4,0
Zimbabwe,2020-05-10,36,1,4,0
Zimbabwe,2020-05-11,36,0,4,0
Zimbabwe,2020-05-12,37,1,4,0
Zimbabwe,2020-05-13,37,0,4,0
Zimbabwe,2020-05-14,37,0,4,0
Zimbabwe,2020-05-15,37,0,4,0
Zimbabwe,2020-05-16,42,5,4,0
Zimbabwe,2020-05-17,44,2,4,0
Zimbabwe,2020-05-18,46,2,4,0
Zimbabwe,2020-05-19,46,0,4,0
Zimbabwe,2020-05-20,46,0,4,0
Zimbabwe,2020-05-21,48,2,4,0
Zimbabwe,2020-05-22,51,3,4,0
Zimbabwe,2020-05-23,56,5,4,0
Zimbabwe,2020-05-24,56,0,4,0
Zimbabwe,2020-05-25,56,0,4,0
Zimbabwe,2020-05-26,56,0,4,0
Zimbabwe,2020-05-27,56,0,4,0
Zimbabwe,2020-05-28,132,76,4,0
Zimbabwe,2020-05-29,149,17,4,0
Zimbabwe,2020-05-30,160,11,4,0
Zimbabwe,2020-05-31,174,14,4,0
Zimbabwe,2020-06-01,178,4,4,0
Zimbabwe,2020-06-02,203,25,4,0
Zimbabwe,2020-06-03,206,3,4,0
Zimbabwe,2020-06-04,222,16,4,0
Zimbabwe,2020-06-05,237,15,4,0
Zimbabwe,2020-06-06,265,28,4,0
Zimbabwe,2020-06-07,279,14,4,0
Zimbabwe,2020-06-08,282,3,4,0
Zimbabwe,2020-06-09,287,5,4,0
Zimbabwe,2020-06-10,314,27,4,0
Zimbabwe,2020-06-11,320,6,4,0
Zimbabwe,2020-06-12,332,12,4,0
Zimbabwe,2020-06-13,343,11,4,0
Zimbabwe,2020-06-14,356,13,4,0
Zimbabwe,2020-06-15,383,27,4,0
Zimbabwe,2020-06-16,387,4,4,0
Zimbabwe,2020-06-17,394,7,4,0
Zimbabwe,2020-06-18,401,7,4,0
Zimbabwe,2020-06-19,463,62,4,0
Zimbabwe,2020-06-20,479,16,4,0
Zimbabwe,2020-06-21,486,7,6,2
Zimbabwe,2020-06-22,489,3,6,0
Zimbabwe,2020-06-23,512,23,6,0
Zimbabwe,2020-06-24,525,13,6,0
Zimbabwe,2020-06-25,530,5,6,0
Zimbabwe,2020-06-26,551,21,6,0
Zimbabwe,2020-06-27,561,10,6,0
Zimbabwe,2020-06-28,567,6,6,0
Zimbabwe,2020-06-29,567,0,6,0
Zimbabwe,2020-06-30,574,7,7,1
Zimbabwe,2020-07-01,591,17,7,0
Zimbabwe,2020-07-02,605,14,7,0
Zimbabwe,2020-07-03,617,12,7,0
Zimbabwe,2020-07-04,625,8,7,0
Zimbabwe,2020-07-05,698,73,8,1
Zimbabwe,2020-07-06,716,18,8,0
Zimbabwe,2020-07-07,734,18,9,1
Zimbabwe,2020-07-08,787,53,9,0
Zimbabwe,2020-07-09,885,98,9,0